182
61
58
0 0.518519 0 0.194805 0 0.3125 0 0.33 0 0.66 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0.67 0 1 0 0 0 0.00 0 0.5 0 0 0 0 1 0.33 0 0 1 0 0 0 0 0.64 0 0.741573 0 0 0 0 1 0 1 1 0 0
0 0.574074 0 0.155844 0 0.208333 0 0 1 0.66 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1.00 0 1 0 0 0 0.00 0 0.5 0 0.5 0 0.694118 0 0 1 0 1 0 0 0 0 0.56 0 0.0707865 0 0 0 0 1 0 1 1 0 0
0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0
1 0.555556 0 0.350649 0 0.416667 0 0.66 0 0.33 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0.67 0 0 0 1 0 0.67 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0.48 0 0.0741573 0 0 1 0 0 0.277228 0 0 1 0
0 0.388889 0 0.194805 0 0.520833 0 0.66 0 0.33 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.67 0 0 1 0 0 0.33 0 0.5 0 0.5 0 0.411765 0 0.33 0 0 0 0 1 0 0 0.466667 0 0.0730337 0 0 0 0 1 0 1 0 1 0
0 0.759259 0 0.194805 0 0.104167 0 0.66 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0.67 0 0 1 0 0 0.33 0 0.5 0 0 0 0 1 0.33 0 0 0 0 0 0 1 0.506667 0 0.629213 0 1 0 0 0 0 1 1 0 0
1 0.481481 0 0.402597 0 0.291667 0 0.33 0 0.66 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0.67 0 0 1 0 0 0.33 0 1 0 0 1 0.847059 0 0.66 0 1 0 0 0 0 0 0.493333 0 0.0685393 0 1 0 0 0 0 1 0 1 0
0 0.462963 0 0.376623 0 0.25 0 0.33 0 0.66 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0.33 0 1 0 0 0 0.00 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0.493333 0 0.629213 0 0 0 0 1 0 1 1 0 0
0 0.666667 0 0.363636 0 0.166667 0 0.66 0 0.33 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0.67 0 0 0 1 0 0.67 0 0 1 0.5 0 0 1 0 1 0 0 0 0 0 1 0.906667 0 0.0651685 0 0 0 1 0 0.594059 0 0 1 0
0 0.722222 0 0.454545 0 0.53125 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1.00 0 1 0 0 0 0.00 0 0 0 1 0 0.235294 0 0 1 0 0 0 1 0 0 0.88 0 0.146067 0 0 0 1 0 0.19802 0 0 0 1
0 0.555556 0 0.155844 0 0.25 0 0.33 0 0.66 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.67 0 1 0 0 0 0.00 0 0.5 0 0 0 0 1 0.33 0 0 1 0 0 0 0 0.653333 0 0.0808989 0 1 0 0 0 0.792079 0 1 0 0
0 0.518519 0 0.116883 0 0 1 0.33 0 0.33 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1.00 0 0 0 0 1 1.00 0 0 0 1 0 0.235294 0 0 0 0 0 0 0 1 0 0.56 0 0.797753 0 0 0 0 1 0 1 1 0 0
0 0.425926 0 0.428571 0 0.3125 0 0.66 0 0.33 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1.00 0 0 0 0 1 1.00 0 1 0 0.5 0 0.470588 0 0 0 0 0 0 0 1 0 0.88 0 0.0842697 0 0 0 0 1 0 1 0 1 0
0 0.592593 0 0.142857 0 0.208333 0 0.33 0 0.66 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.67 0 0 1 0 0 0.33 0 0 0 0 0 0 1 0.66 0 0 0 1 0 0 0 0.48 0 0.0741573 0 1 0 0 0 0.49505 0 1 0 0
0 0.611111 0 0.142857 0 0 1 0.33 0 0.66 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.67 0 1 0 0 0 0.00 0 0 1 0 1 0 1 0.66 0 0 0 1 0 0 0 0.0533333 0 0.831461 0 0 0 0 1 0 1 1 0 0
0 0.481481 0 0.0779221 0 0.125 0 0.66 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0.00 0 1 0 0 0 0.00 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0.493333 0 0.0651685 0 0 0 0 1 0 1 1 0 0
